r,t,y,NewCapacity
RE1,LNDMAIHR,2034,0.1441
RE1,LNDMAIHR,2035,0.1416
RE1,LNDMAIHR,2036,0.3029
RE1,LNDMAIHR,2037,0.2885
RE1,LNDMAIHR,2038,0.2513
RE1,LNDMAIHR,2039,0.2861
RE1,LNDMAIHR,2040,0.1802
RE1,LNDMAIHR,2041,0.1888
RE1,LNDMAIHR,2042,0.1784
RE1,LNDMAIHR,2043,0.1834
RE1,LNDMAIHR,2044,0.1853
RE1,LNDMAIHR,2045,0.1846
RE1,LNDMAIHR,2046,0.1813
RE1,LNDMAIHR,2047,0.176
RE1,LNDMAIHR,2048,0.1689
RE1,LNDMAIHR,2049,0.1745
RE1,LNDMAIHR,2050,0.1723
RE1,LNDMAILR,2020,0.0
RE1,LNDMAILR,2021,1.6543
RE1,LNDMAILR,2022,1.6471
RE1,LNDMAILR,2023,1.616
RE1,LNDMAILR,2024,1.9432
RE1,LNDMAILR,2025,1.9256
RE1,LNDMAILR,2026,1.9781
RE1,LNDMAILR,2027,1.8192
RE1,LNDMAILR,2028,1.6985
RE1,LNDMAILR,2029,1.6591
RE1,LNDMAILR,2030,1.2749
RE1,LNDMAILR,2031,0.8973
RE1,LNDMAILR,2032,0.3183
RE1,LNDMAILR,2033,0.0
RE1,LNDMAILR,2034,0.0
RE1,LNDMAILR,2035,0.0
RE1,LNDMAILR,2036,0.0
RE1,LNDMAILR,2037,0.0
RE1,LNDMAILR,2038,0.0
RE1,LNDMAILR,2039,0.0
RE1,LNDMAILR,2040,0.0
RE1,LNDMAILR,2041,0.0
RE1,LNDMAILR,2042,0.0
RE1,LNDMAILR,2043,0.0
RE1,LNDMAILR,2044,0.0
RE1,LNDMAILR,2045,0.0
RE1,LNDMAILR,2046,0.0
RE1,LNDMAILR,2047,0.0
RE1,LNDMAILR,2048,0.0
RE1,LNDMAILR,2049,0.0
RE1,LNDMAILR,2050,0.0
RE1,LNDMAIHI,2020,0.0
RE1,LNDMAIHI,2021,0.0483
RE1,LNDMAIHI,2022,0.0
RE1,LNDMAIHI,2023,0.0
RE1,LNDMAIHI,2024,0.0
RE1,LNDMAIHI,2025,0.0
RE1,LNDMAIHI,2026,0.0
RE1,LNDMAIHI,2027,0.0
RE1,LNDMAIHI,2028,0.0
RE1,LNDMAIHI,2029,0.0
RE1,LNDMAIHI,2030,0.0
RE1,LNDMAIHI,2031,0.0
RE1,LNDMAIHI,2032,0.0
RE1,LNDMAIHI,2033,0.0
RE1,LNDMAIHI,2034,0.0034
RE1,LNDMAIHI,2035,0.0038
RE1,LNDMAIHI,2036,0.0613
RE1,LNDMAIHI,2037,0.0007
RE1,LNDMAIHI,2038,0.0007
RE1,LNDMAIHI,2039,0.0007
RE1,LNDMAIHI,2040,0.0007
RE1,LNDMAIHI,2041,0.0007
RE1,LNDMAIHI,2042,0.0007
RE1,LNDMAIHI,2043,0.0007
RE1,LNDMAIHI,2044,0.0007
RE1,LNDMAIHI,2045,0.0007
RE1,LNDMAIHI,2046,0.0007
RE1,LNDMAIHI,2047,0.0008
RE1,LNDMAIHI,2048,0.0008
RE1,LNDMAIHI,2049,0.0042
RE1,LNDMAIHI,2050,0.0045
RE1,LNDMAILI,2020,0.0
RE1,LNDMAILI,2021,0.4345
RE1,LNDMAILI,2022,0.0
RE1,LNDMAILI,2023,0.0
RE1,LNDMAILI,2024,0.0
RE1,LNDMAILI,2025,0.0
RE1,LNDMAILI,2026,0.0
RE1,LNDMAILI,2027,0.0
RE1,LNDMAILI,2028,0.042
RE1,LNDMAILI,2029,0.2698
RE1,LNDMAILI,2030,0.5473
RE1,LNDMAILI,2031,0.8043
RE1,LNDMAILI,2032,1.1898
RE1,LNDMAILI,2033,1.3807
RE1,LNDMAILI,2034,1.4332
RE1,LNDMAILI,2035,1.4322
RE1,LNDMAILI,2036,3.28
RE1,LNDMAILI,2037,2.6892
RE1,LNDMAILI,2038,2.4817
RE1,LNDMAILI,2039,2.7364
RE1,LNDMAILI,2040,2.1298
RE1,LNDMAILI,2041,2.1865
RE1,LNDMAILI,2042,2.0948
RE1,LNDMAILI,2043,2.0727
RE1,LNDMAILI,2044,2.3173
RE1,LNDMAILI,2045,2.3325
RE1,LNDMAILI,2046,2.3395
RE1,LNDMAILI,2047,2.3373
RE1,LNDMAILI,2048,2.3268
RE1,LNDMAILI,2049,2.4037
RE1,LNDMAILI,2050,2.4283
RE1,LNDWHEHR,2020,0.0
RE1,LNDWHEHR,2021,0.1069
RE1,LNDWHEHR,2022,0.1027
RE1,LNDWHEHR,2023,0.0986
RE1,LNDWHEHR,2024,0.1253
RE1,LNDWHEHR,2025,0.118
RE1,LNDWHEHR,2026,0.1245
RE1,LNDWHEHR,2027,0.1162
RE1,LNDWHEHR,2028,0.1198
RE1,LNDWHEHR,2029,0.1211
RE1,LNDWHEHR,2030,0.1203
RE1,LNDWHEHR,2031,0.1175
RE1,LNDWHEHR,2032,0.1132
RE1,LNDWHEHR,2033,0.1075
RE1,LNDWHEHR,2034,0.1115
RE1,LNDWHEHR,2035,0.1096
RE1,LNDWHEHR,2036,0.2346
RE1,LNDWHEHR,2037,0.2234
RE1,LNDWHEHR,2038,0.1946
RE1,LNDWHEHR,2039,0.2215
RE1,LNDWHEHR,2040,0.1396
RE1,LNDWHEHR,2041,0.1462
RE1,LNDWHEHR,2042,0.1382
RE1,LNDWHEHR,2043,0.142
RE1,LNDWHEHR,2044,0.1435
RE1,LNDWHEHR,2045,0.1429
RE1,LNDWHEHR,2046,0.1404
RE1,LNDWHEHR,2047,0.1362
RE1,LNDWHEHR,2048,0.1308
RE1,LNDWHEHR,2049,0.1351
RE1,LNDWHEHR,2050,0.1334
RE1,LNDWHELR,2020,0.0
RE1,LNDWHELR,2021,1.3857
RE1,LNDWHELR,2022,1.4035
RE1,LNDWHELR,2023,1.3811
RE1,LNDWHELR,2024,1.6361
RE1,LNDWHELR,2025,1.6121
RE1,LNDWHELR,2026,1.6641
RE1,LNDWHELR,2027,1.5602
RE1,LNDWHELR,2028,1.5065
RE1,LNDWHELR,2029,1.5704
RE1,LNDWHELR,2030,1.3543
RE1,LNDWHELR,2031,1.1376
RE1,LNDWHELR,2032,0.8034
RE1,LNDWHELR,2033,0.3029
RE1,LNDWHELR,2034,0.0
RE1,LNDWHELR,2035,0.0
RE1,LNDWHELR,2036,0.0
RE1,LNDWHELR,2037,0.0
RE1,LNDWHELR,2038,0.0
RE1,LNDWHELR,2039,0.0
RE1,LNDWHELR,2040,0.0
RE1,LNDWHELR,2041,0.0
RE1,LNDWHELR,2042,0.0
RE1,LNDWHELR,2043,0.0
RE1,LNDWHELR,2044,0.0
RE1,LNDWHELR,2045,0.0
RE1,LNDWHELR,2046,0.0
RE1,LNDWHELR,2047,0.0
RE1,LNDWHELR,2048,0.0
RE1,LNDWHELR,2049,0.0
RE1,LNDWHELR,2050,0.0
RE1,LNDWHEHI,2020,0.0
RE1,LNDWHEHI,2021,0.0366
RE1,LNDWHEHI,2022,0.0
RE1,LNDWHEHI,2023,0.0
RE1,LNDWHEHI,2024,0.0
RE1,LNDWHEHI,2025,0.0
RE1,LNDWHEHI,2026,0.0
RE1,LNDWHEHI,2027,0.0
RE1,LNDWHEHI,2028,0.0
RE1,LNDWHEHI,2029,0.0
RE1,LNDWHEHI,2030,0.0
RE1,LNDWHEHI,2031,0.0
RE1,LNDWHEHI,2032,0.0
RE1,LNDWHEHI,2033,0.0
RE1,LNDWHEHI,2034,0.0026
RE1,LNDWHEHI,2035,0.0028
RE1,LNDWHEHI,2036,0.0465
RE1,LNDWHEHI,2037,0.0005
RE1,LNDWHEHI,2038,0.0005
RE1,LNDWHEHI,2039,0.0005
RE1,LNDWHEHI,2040,0.0005
RE1,LNDWHEHI,2041,0.0005
RE1,LNDWHEHI,2042,0.0005
RE1,LNDWHEHI,2043,0.0006
RE1,LNDWHEHI,2044,0.0006
RE1,LNDWHEHI,2045,0.0006
RE1,LNDWHEHI,2046,0.0006
RE1,LNDWHEHI,2047,0.0006
RE1,LNDWHEHI,2048,0.0006
RE1,LNDWHEHI,2049,0.0032
RE1,LNDWHEHI,2050,0.0034
RE1,LNDWHELI,2020,0.0
RE1,LNDWHELI,2021,0.3296
RE1,LNDWHELI,2022,0.0
RE1,LNDWHELI,2023,0.0
RE1,LNDWHELI,2024,0.0
RE1,LNDWHELI,2025,0.0
RE1,LNDWHELI,2026,0.0
RE1,LNDWHELI,2027,0.0
RE1,LNDWHELI,2028,0.0319
RE1,LNDWHELI,2029,0.2047
RE1,LNDWHELI,2030,0.4151
RE1,LNDWHELI,2031,0.6101
RE1,LNDWHELI,2032,0.9025
RE1,LNDWHELI,2033,1.3414
RE1,LNDWHELI,2034,1.7436
RE1,LNDWHELI,2035,1.7376
RE1,LNDWHELI,2036,3.548
RE1,LNDWHELI,2037,3.1876
RE1,LNDWHELI,2038,2.9637
RE1,LNDWHELI,2039,3.3463
RE1,LNDWHELI,2040,2.6674
RE1,LNDWHELI,2041,2.7185
RE1,LNDWHELI,2042,2.6251
RE1,LNDWHELI,2043,2.6137
RE1,LNDWHELI,2044,3.446
RE1,LNDWHELI,2045,3.111
RE1,LNDWHELI,2046,2.9446
RE1,LNDWHELI,2047,2.8572
RE1,LNDWHELI,2048,2.8058
RE1,LNDWHELI,2049,2.9285
RE1,LNDWHELI,2050,2.9418
RE1,LNDSORHR,2020,0.0
RE1,LNDSORHR,2021,0.1046
RE1,LNDSORHR,2022,0.1004
RE1,LNDSORHR,2023,0.0964
RE1,LNDSORHR,2024,0.1226
RE1,LNDSORHR,2025,0.1154
RE1,LNDSORHR,2026,0.1217
RE1,LNDSORHR,2027,0.1136
RE1,LNDSORHR,2028,0.1171
RE1,LNDSORHR,2029,0.1184
RE1,LNDSORHR,2030,0.1176
RE1,LNDSORHR,2031,0.1149
RE1,LNDSORHR,2032,0.1107
RE1,LNDSORHR,2033,0.1051
RE1,LNDSORHR,2034,0.1091
RE1,LNDSORHR,2035,0.1072
RE1,LNDSORHR,2036,0.2294
RE1,LNDSORHR,2037,0.2184
RE1,LNDSORHR,2038,0.1903
RE1,LNDSORHR,2039,0.2166
RE1,LNDSORHR,2040,0.1365
RE1,LNDSORHR,2041,0.143
RE1,LNDSORHR,2042,0.1351
RE1,LNDSORHR,2043,0.1388
RE1,LNDSORHR,2044,0.1403
RE1,LNDSORHR,2045,0.1397
RE1,LNDSORHR,2046,0.1373
RE1,LNDSORHR,2047,0.1332
RE1,LNDSORHR,2048,0.1279
RE1,LNDSORHR,2049,0.1321
RE1,LNDSORHR,2050,0.1304
RE1,LNDSORLR,2020,0.0
RE1,LNDSORLR,2021,0.0834
RE1,LNDSORLR,2022,1.2818
RE1,LNDSORLR,2023,1.2588
RE1,LNDSORLR,2024,1.507
RE1,LNDSORLR,2025,1.493
RE1,LNDSORLR,2026,1.5342
RE1,LNDSORLR,2027,1.4177
RE1,LNDSORLR,2028,1.3345
RE1,LNDSORLR,2029,1.3366
RE1,LNDSORLR,2030,1.0619
RE1,LNDSORLR,2031,0.791
RE1,LNDSORLR,2032,0.3756
RE1,LNDSORLR,2033,0.0
RE1,LNDSORLR,2034,0.0
RE1,LNDSORLR,2035,0.0
RE1,LNDSORLR,2036,0.0
RE1,LNDSORLR,2037,0.0
RE1,LNDSORLR,2038,0.0
RE1,LNDSORLR,2039,0.0
RE1,LNDSORLR,2040,0.0
RE1,LNDSORLR,2041,0.0
RE1,LNDSORLR,2042,0.0
RE1,LNDSORLR,2043,0.0
RE1,LNDSORLR,2044,0.0
RE1,LNDSORLR,2045,0.0
RE1,LNDSORLR,2046,0.0
RE1,LNDSORLR,2047,0.0
RE1,LNDSORLR,2048,0.0
RE1,LNDSORLR,2049,0.0
RE1,LNDSORLR,2050,0.0
RE1,LNDSORHI,2020,0.0
RE1,LNDSORHI,2021,0.0366
RE1,LNDSORHI,2022,0.0
RE1,LNDSORHI,2023,0.0
RE1,LNDSORHI,2024,0.0
RE1,LNDSORHI,2025,0.0
RE1,LNDSORHI,2026,0.0
RE1,LNDSORHI,2027,0.0
RE1,LNDSORHI,2028,0.0
RE1,LNDSORHI,2029,0.0
RE1,LNDSORHI,2030,0.0
RE1,LNDSORHI,2031,0.0
RE1,LNDSORHI,2032,0.0
RE1,LNDSORHI,2033,0.0
RE1,LNDSORHI,2034,0.0026
RE1,LNDSORHI,2035,0.0028
RE1,LNDSORHI,2036,0.0399
RE1,LNDSORHI,2037,0.0071
RE1,LNDSORHI,2038,0.0005
RE1,LNDSORHI,2039,0.0005
RE1,LNDSORHI,2040,0.0005
RE1,LNDSORHI,2041,0.0005
RE1,LNDSORHI,2042,0.0005
RE1,LNDSORHI,2043,0.0006
RE1,LNDSORHI,2044,0.0006
RE1,LNDSORHI,2045,0.0006
RE1,LNDSORHI,2046,0.0006
RE1,LNDSORHI,2047,0.0006
RE1,LNDSORHI,2048,0.0006
RE1,LNDSORHI,2049,0.0032
RE1,LNDSORHI,2050,0.0034
RE1,LNDSORLI,2020,0.0
RE1,LNDSORLI,2021,0.3296
RE1,LNDSORLI,2022,0.0
RE1,LNDSORLI,2023,0.0
RE1,LNDSORLI,2024,0.0
RE1,LNDSORLI,2025,0.0
RE1,LNDSORLI,2026,0.0
RE1,LNDSORLI,2027,0.0
RE1,LNDSORLI,2028,0.0319
RE1,LNDSORLI,2029,0.2047
RE1,LNDSORLI,2030,0.4151
RE1,LNDSORLI,2031,0.6101
RE1,LNDSORLI,2032,0.9025
RE1,LNDSORLI,2033,1.1564
RE1,LNDSORLI,2034,1.2163
RE1,LNDSORLI,2035,1.214
RE1,LNDSORLI,2036,1.7403
RE1,LNDSORLI,2037,2.2721
RE1,LNDSORLI,2038,2.0985
RE1,LNDSORLI,2039,2.3373
RE1,LNDSORLI,2040,1.8253
RE1,LNDSORLI,2041,1.8665
RE1,LNDSORLI,2042,1.7908
RE1,LNDSORLI,2043,1.7731
RE1,LNDSORLI,2044,2.1436
RE1,LNDSORLI,2045,2.0537
RE1,LNDSORLI,2046,2.0086
RE1,LNDSORLI,2047,1.9818
RE1,LNDSORLI,2048,1.9612
RE1,LNDSORLI,2049,2.0353
RE1,LNDSORLI,2050,2.0512
RE1,LNDBRLHR,2020,0.0
RE1,LNDBRLHR,2021,0.0524
RE1,LNDBRLHR,2022,0.0503
RE1,LNDBRLHR,2023,0.0483
RE1,LNDBRLHR,2024,0.0614
RE1,LNDBRLHR,2025,0.0579
RE1,LNDBRLHR,2026,0.061
RE1,LNDBRLHR,2027,0.057
RE1,LNDBRLHR,2028,0.0587
RE1,LNDBRLHR,2029,0.0594
RE1,LNDBRLHR,2030,0.059
RE1,LNDBRLHR,2031,0.0576
RE1,LNDBRLHR,2032,0.0555
RE1,LNDBRLHR,2033,0.0527
RE1,LNDBRLHR,2034,0.0547
RE1,LNDBRLHR,2035,0.0537
RE1,LNDBRLHR,2036,0.115
RE1,LNDBRLHR,2037,0.1095
RE1,LNDBRLHR,2038,0.0954
RE1,LNDBRLHR,2039,0.1086
RE1,LNDBRLHR,2040,0.0684
RE1,LNDBRLHR,2041,0.0717
RE1,LNDBRLHR,2042,0.0677
RE1,LNDBRLHR,2043,0.0696
RE1,LNDBRLHR,2044,0.0703
RE1,LNDBRLHR,2045,0.07
RE1,LNDBRLHR,2046,0.0688
RE1,LNDBRLHR,2047,0.0668
RE1,LNDBRLHR,2048,0.0641
RE1,LNDBRLHR,2049,0.0662
RE1,LNDBRLHR,2050,0.0654
RE1,LNDBRLLR,2020,0.0
RE1,LNDBRLLR,2021,0.0
RE1,LNDBRLLR,2022,0.635
RE1,LNDBRLLR,2023,0.623
RE1,LNDBRLLR,2024,0.747
RE1,LNDBRLLR,2025,0.7349
RE1,LNDBRLLR,2026,0.7586
RE1,LNDBRLLR,2027,0.7061
RE1,LNDBRLLR,2028,0.6776
RE1,LNDBRLLR,2029,0.6886
RE1,LNDBRLLR,2030,0.5799
RE1,LNDBRLLR,2031,0.471
RE1,LNDBRLLR,2032,0.3034
RE1,LNDBRLLR,2033,0.0526
RE1,LNDBRLLR,2034,0.0
RE1,LNDBRLLR,2035,0.0
RE1,LNDBRLLR,2036,0.0
RE1,LNDBRLLR,2037,0.0
RE1,LNDBRLLR,2038,0.0
RE1,LNDBRLLR,2039,0.0
RE1,LNDBRLLR,2040,0.0
RE1,LNDBRLLR,2041,0.0
RE1,LNDBRLLR,2042,0.0
RE1,LNDBRLLR,2043,0.0
RE1,LNDBRLLR,2044,0.0
RE1,LNDBRLLR,2045,0.0
RE1,LNDBRLLR,2046,0.0
RE1,LNDBRLLR,2047,0.0
RE1,LNDBRLLR,2048,0.0
RE1,LNDBRLLR,2049,0.0
RE1,LNDBRLLR,2050,0.0
RE1,LNDBRLHI,2020,0.0
RE1,LNDBRLHI,2021,0.0183
RE1,LNDBRLHI,2022,0.0
RE1,LNDBRLHI,2023,0.0
RE1,LNDBRLHI,2024,0.0
RE1,LNDBRLHI,2025,0.0
RE1,LNDBRLHI,2026,0.0
RE1,LNDBRLHI,2027,0.0
RE1,LNDBRLHI,2028,0.0
RE1,LNDBRLHI,2029,0.0
RE1,LNDBRLHI,2030,0.0
RE1,LNDBRLHI,2031,0.0
RE1,LNDBRLHI,2032,0.0
RE1,LNDBRLHI,2033,0.0
RE1,LNDBRLHI,2034,0.0007
RE1,LNDBRLHI,2035,0.0014
RE1,LNDBRLHI,2036,0.0232
RE1,LNDBRLHI,2037,0.0003
RE1,LNDBRLHI,2038,0.0003
RE1,LNDBRLHI,2039,0.0003
RE1,LNDBRLHI,2040,0.0003
RE1,LNDBRLHI,2041,0.0003
RE1,LNDBRLHI,2042,0.0003
RE1,LNDBRLHI,2043,0.0003
RE1,LNDBRLHI,2044,0.0003
RE1,LNDBRLHI,2045,0.0003
RE1,LNDBRLHI,2046,0.0003
RE1,LNDBRLHI,2047,0.0003
RE1,LNDBRLHI,2048,0.0003
RE1,LNDBRLHI,2049,0.001
RE1,LNDBRLHI,2050,0.0017
RE1,LNDBRLLI,2020,0.0
RE1,LNDBRLLI,2021,0.1648
RE1,LNDBRLLI,2022,0.0
RE1,LNDBRLLI,2023,0.0
RE1,LNDBRLLI,2024,0.0
RE1,LNDBRLLI,2025,0.0
RE1,LNDBRLLI,2026,0.0
RE1,LNDBRLLI,2027,0.0
RE1,LNDBRLLI,2028,0.0167
RE1,LNDBRLLI,2029,0.1025
RE1,LNDBRLLI,2030,0.208
RE1,LNDBRLLI,2031,0.3057
RE1,LNDBRLLI,2032,0.4523
RE1,LNDBRLLI,2033,0.6722
RE1,LNDBRLLI,2034,0.763
RE1,LNDBRLLI,2035,0.7606
RE1,LNDBRLLI,2036,1.0091
RE1,LNDBRLLI,2037,1.4228
RE1,LNDBRLLI,2038,1.312
RE1,LNDBRLLI,2039,1.4694
RE1,LNDBRLLI,2040,1.1399
RE1,LNDBRLLI,2041,1.167
RE1,LNDBRLLI,2042,1.1226
RE1,LNDBRLLI,2043,1.1185
RE1,LNDBRLLI,2044,1.3722
RE1,LNDBRLLI,2045,1.2922
RE1,LNDBRLLI,2046,1.2514
RE1,LNDBRLLI,2047,1.2277
RE1,LNDBRLLI,2048,1.2106
RE1,LNDBRLLI,2049,1.2584
RE1,LNDBRLLI,2050,1.266
RE1,LNDCOFHR,2020,0.0
RE1,LNDCOFHR,2021,0.0
RE1,LNDCOFHR,2022,0.0
RE1,LNDCOFHR,2023,0.0445
RE1,LNDCOFHR,2024,0.0568
RE1,LNDCOFHR,2025,0.0535
RE1,LNDCOFHR,2026,0.0564
RE1,LNDCOFHR,2027,0.0526
RE1,LNDCOFHR,2028,0.0542
RE1,LNDCOFHR,2029,0.0548
RE1,LNDCOFHR,2030,0.0545
RE1,LNDCOFHR,2031,0.0532
RE1,LNDCOFHR,2032,0.0512
RE1,LNDCOFHR,2033,0.0485
RE1,LNDCOFHR,2034,0.0504
RE1,LNDCOFHR,2035,0.0495
RE1,LNDCOFHR,2036,0.0578
RE1,LNDCOFHR,2037,0.0546
RE1,LNDCOFHR,2038,0.0877
RE1,LNDCOFHR,2039,0.1001
RE1,LNDCOFHR,2040,0.0623
RE1,LNDCOFHR,2041,0.0653
RE1,LNDCOFHR,2042,0.0616
RE1,LNDCOFHR,2043,0.0633
RE1,LNDCOFHR,2044,0.064
RE1,LNDCOFHR,2045,0.0637
RE1,LNDCOFHR,2046,0.0625
RE1,LNDCOFHR,2047,0.0606
RE1,LNDCOFHR,2048,0.058
RE1,LNDCOFHR,2049,0.06
RE1,LNDCOFHR,2050,0.0592
RE1,LNDCOFLR,2020,0.0
RE1,LNDCOFLR,2021,0.0
RE1,LNDCOFLR,2022,0.0
RE1,LNDCOFLR,2023,0.0
RE1,LNDCOFLR,2024,0.0
RE1,LNDCOFLR,2025,0.0
RE1,LNDCOFLR,2026,0.0
RE1,LNDCOFLR,2027,0.1583
RE1,LNDCOFLR,2028,0.4374
RE1,LNDCOFLR,2029,0.4042
RE1,LNDCOFLR,2030,0.1911
RE1,LNDCOFLR,2031,0.0
RE1,LNDCOFLR,2032,0.0
RE1,LNDCOFLR,2033,0.0
RE1,LNDCOFLR,2034,0.0
RE1,LNDCOFLR,2035,0.0
RE1,LNDCOFLR,2036,0.0
RE1,LNDCOFLR,2037,0.0
RE1,LNDCOFLR,2038,0.0
RE1,LNDCOFLR,2039,0.0
RE1,LNDCOFLR,2040,0.0
RE1,LNDCOFLR,2041,0.0
RE1,LNDCOFLR,2042,0.0
RE1,LNDCOFLR,2043,0.0
RE1,LNDCOFLR,2044,0.0
RE1,LNDCOFLR,2045,0.0
RE1,LNDCOFLR,2046,0.0
RE1,LNDCOFLR,2047,0.0
RE1,LNDCOFLR,2048,0.0
RE1,LNDCOFLR,2049,0.0
RE1,LNDCOFLR,2050,0.0
RE1,LNDCOFHI,2020,0.0
RE1,LNDCOFHI,2021,0.0257
RE1,LNDCOFHI,2022,0.0
RE1,LNDCOFHI,2023,0.0
RE1,LNDCOFHI,2024,0.0
RE1,LNDCOFHI,2025,0.0
RE1,LNDCOFHI,2026,0.0
RE1,LNDCOFHI,2027,0.0
RE1,LNDCOFHI,2028,0.0
RE1,LNDCOFHI,2029,0.0
RE1,LNDCOFHI,2030,0.0
RE1,LNDCOFHI,2031,0.0
RE1,LNDCOFHI,2032,0.0
RE1,LNDCOFHI,2033,0.0004
RE1,LNDCOFHI,2034,0.0021
RE1,LNDCOFHI,2035,0.0021
RE1,LNDCOFHI,2036,0.0282
RE1,LNDCOFHI,2037,0.0023
RE1,LNDCOFHI,2038,0.0018
RE1,LNDCOFHI,2039,0.0018
RE1,LNDCOFHI,2040,0.0004
RE1,LNDCOFHI,2041,0.0004
RE1,LNDCOFHI,2042,0.0004
RE1,LNDCOFHI,2043,0.0004
RE1,LNDCOFHI,2044,0.0004
RE1,LNDCOFHI,2045,0.0004
RE1,LNDCOFHI,2046,0.0004
RE1,LNDCOFHI,2047,0.0004
RE1,LNDCOFHI,2048,0.0008
RE1,LNDCOFHI,2049,0.0025
RE1,LNDCOFHI,2050,0.0025
RE1,LNDCOFLI,2020,0.0
RE1,LNDCOFLI,2021,0.2362
RE1,LNDCOFLI,2022,0.0
RE1,LNDCOFLI,2023,0.0
RE1,LNDCOFLI,2024,0.0
RE1,LNDCOFLI,2025,0.0
RE1,LNDCOFLI,2026,0.0
RE1,LNDCOFLI,2027,0.0
RE1,LNDCOFLI,2028,0.0289
RE1,LNDCOFLI,2029,0.1501
RE1,LNDCOFLI,2030,0.3044
RE1,LNDCOFLI,2031,0.4368
RE1,LNDCOFLI,2032,0.4257
RE1,LNDCOFLI,2033,0.4106
RE1,LNDCOFLI,2034,0.4265
RE1,LNDCOFLI,2035,0.4234
RE1,LNDCOFLI,2036,0.7201
RE1,LNDCOFLI,2037,0.4651
RE1,LNDCOFLI,2038,0.3898
RE1,LNDCOFLI,2039,0.3939
RE1,LNDCOFLI,2040,0.1601
RE1,LNDCOFLI,2041,0.1645
RE1,LNDCOFLI,2042,0.2836
RE1,LNDCOFLI,2043,0.5191
RE1,LNDCOFLI,2044,0.621
RE1,LNDCOFLI,2045,0.6258
RE1,LNDCOFLI,2046,0.6248
RE1,LNDCOFLI,2047,0.6188
RE1,LNDCOFLI,2048,0.6089
RE1,LNDCOFLI,2049,0.6301
RE1,LNDCOFLI,2050,0.6325
RE1,LNDOTCHR,2020,0.0
RE1,LNDOTCHR,2021,0.2557
RE1,LNDOTCHR,2022,0.2455
RE1,LNDOTCHR,2023,0.2358
RE1,LNDOTCHR,2024,0.2997
RE1,LNDOTCHR,2025,0.2822
RE1,LNDOTCHR,2026,0.2976
RE1,LNDOTCHR,2027,0.2779
RE1,LNDOTCHR,2028,0.2865
RE1,LNDOTCHR,2029,0.2896
RE1,LNDOTCHR,2030,0.2876
RE1,LNDOTCHR,2031,0.2811
RE1,LNDOTCHR,2032,0.2706
RE1,LNDOTCHR,2033,0.257
RE1,LNDOTCHR,2034,0.2668
RE1,LNDOTCHR,2035,0.2621
RE1,LNDOTCHR,2036,0.561
RE1,LNDOTCHR,2037,0.5342
RE1,LNDOTCHR,2038,0.4653
RE1,LNDOTCHR,2039,0.5297
RE1,LNDOTCHR,2040,0.3337
RE1,LNDOTCHR,2041,0.3496
RE1,LNDOTCHR,2042,0.3304
RE1,LNDOTCHR,2043,0.3395
RE1,LNDOTCHR,2044,0.3432
RE1,LNDOTCHR,2045,0.3417
RE1,LNDOTCHR,2046,0.3357
RE1,LNDOTCHR,2047,0.3258
RE1,LNDOTCHR,2048,0.3128
RE1,LNDOTCHR,2049,0.3231
RE1,LNDOTCHR,2050,0.319
RE1,LNDOTCLR,2020,38.3369
RE1,LNDOTCLR,2021,1.2309
RE1,LNDOTCLR,2022,1.2427
RE1,LNDOTCLR,2023,1.2772
RE1,LNDOTCLR,2024,1.3125
RE1,LNDOTCLR,2025,1.679
RE1,LNDOTCLR,2026,1.454
RE1,LNDOTCLR,2027,1.3197
RE1,LNDOTCLR,2028,1.2427
RE1,LNDOTCLR,2029,1.2696
RE1,LNDOTCLR,2030,0.9884
RE1,LNDOTCLR,2031,0.9698
RE1,LNDOTCLR,2032,0.9461
RE1,LNDOTCLR,2033,0.9168
RE1,LNDOTCLR,2034,0.8813
RE1,LNDOTCLR,2035,39.1757
RE1,LNDOTCLR,2036,2.0194
RE1,LNDOTCLR,2037,1.9722
RE1,LNDOTCLR,2038,1.9381
RE1,LNDOTCLR,2039,1.8942
RE1,LNDOTCLR,2040,2.1696
RE1,LNDOTCLR,2041,1.8405
RE1,LNDOTCLR,2042,1.5874
RE1,LNDOTCLR,2043,1.3756
RE1,LNDOTCLR,2044,1.2499
RE1,LNDOTCLR,2045,0.7963
RE1,LNDOTCLR,2046,0.5835
RE1,LNDOTCLR,2047,0.3416
RE1,LNDOTCLR,2048,0.0674
RE1,LNDOTCLR,2049,0.0
RE1,LNDOTCLR,2050,37.7692
RE1,LNDOTCHI,2020,0.0
RE1,LNDOTCHI,2021,0.4385
RE1,LNDOTCHI,2022,0.0
RE1,LNDOTCHI,2023,0.0
RE1,LNDOTCHI,2024,0.0
RE1,LNDOTCHI,2025,0.0
RE1,LNDOTCHI,2026,0.0
RE1,LNDOTCHI,2027,0.0
RE1,LNDOTCHI,2028,0.0
RE1,LNDOTCHI,2029,0.0
RE1,LNDOTCHI,2030,0.0
RE1,LNDOTCHI,2031,0.0
RE1,LNDOTCHI,2032,0.0
RE1,LNDOTCHI,2033,0.0
RE1,LNDOTCHI,2034,0.0278
RE1,LNDOTCHI,2035,0.0341
RE1,LNDOTCHI,2036,0.4782
RE1,LNDOTCHI,2037,0.0376
RE1,LNDOTCHI,2038,0.0298
RE1,LNDOTCHI,2039,0.0298
RE1,LNDOTCHI,2040,0.0064
RE1,LNDOTCHI,2041,0.0064
