r,t,y,NewCapacity
RE1,PWRGEO,2045,0.1335
RE1,PWRGEO,2046,0.1542
RE1,PWRGEO,2047,0.1788
RE1,PWRGEO,2048,0.2532
RE1,PWRGEO,2049,0.2366
RE1,PWRGEO,2050,0.2839
RE1,PWRPVU,2020,0.0
RE1,PWRPVU,2021,0.0
RE1,PWRPVU,2022,0.0952
RE1,PWRPVU,2023,0.0059
RE1,PWRPVU,2024,0.0062
RE1,PWRPVU,2025,0.0065
RE1,PWRPVU,2026,0.0068
RE1,PWRPVU,2027,0.0287
RE1,PWRPVU,2028,0.0345
RE1,PWRPVU,2029,0.0414
RE1,PWRPVU,2030,0.0
RE1,PWRPVU,2031,0.0
RE1,PWRPVU,2032,0.0
RE1,PWRPVU,2033,0.0
RE1,PWRPVU,2034,0.0
RE1,PWRPVU,2035,0.0
RE1,PWRPVU,2036,0.0103
RE1,PWRPVU,2037,0.0517
RE1,PWRPVU,2038,0.0621
RE1,PWRPVU,2039,0.1638
RE1,PWRPVU,2040,0.0
RE1,PWRPVU,2041,0.1072
RE1,PWRPVU,2042,0.1287
RE1,PWRPVU,2043,0.1544
RE1,PWRPVU,2044,0.1853
RE1,PWRPVU,2045,0.2224
RE1,PWRPVU,2046,0.2898
RE1,PWRPVU,2047,0.4154
RE1,PWRPVU,2048,0.5384
RE1,PWRPVU,2049,0.3191
RE1,PWRPVU,2050,0.5599
RE1,PWRHYD001,2020,0.0
RE1,PWRHYD001,2021,0.0
RE1,PWRHYD001,2022,0.2355
RE1,PWRHYD001,2023,0.4139
RE1,PWRHYD001,2024,0.9249
RE1,PWRHYD001,2025,0.8439
RE1,PWRHYD001,2026,0.4937
RE1,PWRHYD001,2027,1.249
RE1,PWRHYD001,2028,0.6935
RE1,PWRHYD001,2029,0.5477
RE1,PWRHYD001,2030,0.0
RE1,PWRHYD001,2031,0.3199
RE1,PWRHYD001,2032,0.7624
RE1,PWRHYD001,2033,0.7286
RE1,PWRHYD001,2034,0.6616
RE1,PWRHYD001,2035,0.5774
RE1,PWRHYD001,2036,0.48
RE1,PWRHYD001,2037,0.3556
RE1,PWRHYD001,2038,0.1965
RE1,PWRHYD001,2039,0.0
RE1,PWRHYD001,2040,0.0
RE1,PWRHYD001,2041,0.0
RE1,PWRHYD001,2042,0.0
RE1,PWRHYD001,2043,0.0
RE1,PWRHYD001,2044,0.0
RE1,PWRHYD001,2045,0.3221
RE1,PWRHYD001,2046,0.2795
RE1,PWRHYD001,2047,0.7476
RE1,PWRHYD001,2048,0.0
RE1,PWRHYD001,2049,0.0
RE1,PWRHYD001,2050,0.0
RE1,PWRHYD002,2020,0.0
RE1,PWRHYD002,2021,0.0
RE1,PWRHYD002,2022,0.0146
RE1,PWRHYD002,2023,0.5792
RE1,PWRHYD002,2024,0.2874
RE1,PWRHYD002,2025,0.2908
RE1,PWRHYD002,2026,0.2914
RE1,PWRHYD002,2027,0.0879
RE1,PWRHYD002,2028,0.0208
RE1,PWRHYD002,2029,0.0
RE1,PWRHYD002,2030,0.0
RE1,PWRHYD002,2031,0.3782
RE1,PWRHYD002,2032,0.0064
RE1,PWRHYD002,2033,0.0
RE1,PWRHYD002,2034,0.0
RE1,PWRHYD002,2035,0.0
RE1,PWRHYD002,2036,0.0
RE1,PWRHYD002,2037,0.0
RE1,PWRHYD002,2038,0.0
RE1,PWRHYD002,2039,0.0
RE1,PWRHYD002,2040,0.0
RE1,PWRHYD002,2041,0.0
RE1,PWRHYD002,2042,0.0
RE1,PWRHYD002,2043,0.0
RE1,PWRHYD002,2044,0.0
RE1,PWRHYD002,2045,0.0
RE1,PWRHYD002,2046,0.0
RE1,PWRHYD002,2047,0.0
RE1,PWRHYD002,2048,0.0
RE1,PWRHYD002,2049,0.0
RE1,PWRHYD002,2050,0.0
RE1,PWRPVR,2020,0.0
RE1,PWRPVR,2021,0.0
RE1,PWRPVR,2022,0.0007
RE1,PWRPVR,2023,0.0007
RE1,PWRPVR,2024,0.0008
RE1,PWRPVR,2025,0.0008
RE1,PWRPVR,2026,0.0009
RE1,PWRPVR,2027,0.0036
RE1,PWRPVR,2028,0.0043
RE1,PWRPVR,2029,0.0342
RE1,PWRPVR,2030,0.0
RE1,PWRPVR,2031,0.0264
RE1,PWRPVR,2032,0.0277
RE1,PWRPVR,2033,0.0103
RE1,PWRPVR,2034,0.0249
RE1,PWRPVR,2035,0.0298
RE1,PWRPVR,2036,0.0358
RE1,PWRPVR,2037,0.043
RE1,PWRPVR,2038,0.0516
RE1,PWRPVR,2039,0.0619
RE1,PWRPVR,2040,0.0742
RE1,PWRPVR,2041,0.0891
RE1,PWRPVR,2042,0.1069
RE1,PWRPVR,2043,0.1283
RE1,PWRPVR,2044,0.1539
