REGION,TIMESLICE,FUEL,YEAR,VALUE
RE1,S11,DEMRESEL002,2026,4.4503
RE1,S11,DEMRESEL002,2027,4.7658
RE1,S11,DEMRESEL002,2028,5.1033
RE1,S11,DEMRESEL002,2029,5.4641
RE1,S11,DEMRESEL002,2030,5.8497
RE1,S11,DEMRESEL002,2031,6.2617
RE1,S11,DEMRESEL002,2032,6.7313
RE1,S11,DEMRESEL002,2033,7.237
RE1,S11,DEMRESEL002,2034,7.7812
RE1,S11,DEMRESEL002,2035,8.3668
RE1,S11,DEMINDEL002,2020,1.3754
RE1,S11,DEMINDEL002,2021,1.4581
RE1,S11,DEMINDEL002,2022,1.5632
RE1,S11,DEMINDEL002,2023,1.6757
RE1,S11,DEMINDEL002,2024,1.7962
RE1,S11,DEMINDEL002,2025,1.9252
RE1,S11,DEMINDEL002,2026,2.0632
RE1,S11,DEMINDEL002,2027,2.2095
RE1,S11,DEMINDEL002,2028,2.366
RE1,S11,DEMINDEL002,2029,2.5333
RE1,S11,DEMINDEL002,2030,2.712
RE1,S11,DEMINDEL002,2031,2.903
RE1,S11,DEMINDEL002,2032,3.1207
RE1,S11,DEMINDEL002,2033,3.3552
RE1,S11,DEMINDEL002,2034,3.6075
RE1,S11,DEMINDEL002,2035,3.879
RE1,S11,DEMCOMEL002,2020,1.3239
RE1,S11,DEMCOMEL002,2021,1.4034
RE1,S11,DEMCOMEL002,2022,1.5045
RE1,S11,DEMCOMEL002,2023,1.6129
RE1,S11,DEMCOMEL002,2024,1.7288
RE1,S11,DEMCOMEL002,2025,1.853
RE1,S11,DEMCOMEL002,2026,1.9859
RE1,S11,DEMCOMEL002,2027,2.1267
RE1,S11,DEMCOMEL002,2028,2.2772
RE1,S11,DEMCOMEL002,2029,2.4383
RE1,S11,DEMCOMEL002,2030,2.6103
RE1,S11,DEMCOMEL002,2031,2.7941
RE1,S11,DEMCOMEL002,2032,3.0037
RE1,S11,DEMCOMEL002,2033,3.2293
RE1,S11,DEMCOMEL002,2034,3.4722
RE1,S11,DEMCOMEL002,2035,3.7335
RE1,S11,DEMEXPEL002,2020,0.8781
RE1,S11,DEMEXPEL002,2021,0.8931
RE1,S11,DEMEXPEL002,2022,0.9084
RE1,S11,DEMEXPEL002,2023,0.924
RE1,S11,DEMEXPEL002,2024,0.9398
RE1,S11,DEMEXPEL002,2025,0.9559
RE1,S11,DEMEXPEL002,2026,0.9723
RE1,S11,DEMEXPEL002,2027,0.989
RE1,S11,DEMEXPEL002,2028,1.0059
RE1,S11,DEMEXPEL002,2029,1.0232
RE1,S11,DEMEXPEL002,2030,1.0407
RE1,S11,DEMEXPEL002,2031,1.0585
RE1,S11,DEMEXPEL002,2032,1.0767
RE1,S11,DEMEXPEL002,2033,1.0951
RE1,S11,DEMEXPEL002,2034,1.1139
RE1,S11,DEMEXPEL002,2035,1.133
