REGION,FUEL,TECHNOLOGY,YEAR,MODE_OF_OPERATION,TIMESLICE,VALUE
RE1,WTRSUR,DEMPUBSURWAT,2030,1,SD,0.9949
RE1,WTRSUR,DEMPUBSURWAT,2031,1,SD,1.0777
RE1,WTRSUR,DEMPUBSURWAT,2032,1,SD,1.1391
RE1,WTRSUR,DEMPUBSURWAT,2033,1,SD,1.2027
RE1,WTRSUR,DEMPUBSURWAT,2034,1,SD,1.2692
RE1,WTRSUR,DEMPUBSURWAT,2035,1,SD,1.339
RE1,ELC002,DEMPWRSURWAT,2020,1,SD,0.1048
RE1,ELC002,DEMPWRSURWAT,2021,1,SD,0.1026
RE1,ELC002,DEMPWRSURWAT,2022,1,SD,0.097
RE1,ELC002,DEMPWRSURWAT,2023,1,SD,0.091
RE1,ELC002,DEMPWRSURWAT,2024,1,SD,0.0849
RE1,ELC002,DEMPWRSURWAT,2025,1,SD,0.0784
RE1,ELC002,DEMPWRSURWAT,2026,1,SD,0.0858
RE1,ELC002,DEMPWRSURWAT,2027,1,SD,0.0915
RE1,ELC002,DEMPWRSURWAT,2028,1,SD,0.0915
RE1,ELC002,DEMPWRSURWAT,2029,1,SD,0.0915
RE1,ELC002,DEMPWRSURWAT,2030,1,SD,0.0915
RE1,ELC002,DEMPWRSURWAT,2031,1,SD,0.0915
RE1,ELC002,DEMPWRSURWAT,2032,1,SD,0.0915
RE1,ELC002,DEMPWRSURWAT,2033,1,SD,0.0915
RE1,ELC002,DEMPWRSURWAT,2034,1,SD,0.0915
RE1,ELC002,DEMPWRSURWAT,2035,1,SD,0.0915
RE1,WTRSUR,DEMPWRSURWAT,2020,1,SD,0.0372
RE1,WTRSUR,DEMPWRSURWAT,2021,1,SD,0.0364
RE1,WTRSUR,DEMPWRSURWAT,2022,1,SD,0.0344
RE1,WTRSUR,DEMPWRSURWAT,2023,1,SD,0.0323
RE1,WTRSUR,DEMPWRSURWAT,2024,1,SD,0.0301
RE1,WTRSUR,DEMPWRSURWAT,2025,1,SD,0.0278
RE1,WTRSUR,DEMPWRSURWAT,2026,1,SD,0.0304
RE1,WTRSUR,DEMPWRSURWAT,2027,1,SD,0.0325
RE1,WTRSUR,DEMPWRSURWAT,2028,1,SD,0.0325
RE1,WTRSUR,DEMPWRSURWAT,2029,1,SD,0.0325
RE1,WTRSUR,DEMPWRSURWAT,2030,1,SD,0.0325
RE1,WTRSUR,DEMPWRSURWAT,2031,1,SD,0.0325
RE1,WTRSUR,DEMPWRSURWAT,2032,1,SD,0.0325
RE1,WTRSUR,DEMPWRSURWAT,2033,1,SD,0.0325
RE1,WTRSUR,DEMPWRSURWAT,2034,1,SD,0.0325
RE1,WTRSUR,DEMPWRSURWAT,2035,1,SD,0.0325
RE1,CRPMAI,DEMTRABIO,2020,1,SD,0.3981
RE1,CRPMAI,DEMTRABIO,2021,1,SD,0.4101
RE1,CRPMAI,DEMTRABIO,2022,1,SD,0.422
RE1,CRPMAI,DEMTRABIO,2023,1,SD,0.4339
RE1,CRPMAI,DEMTRABIO,2024,1,SD,0.4459
RE1,CRPMAI,DEMTRABIO,2025,1,SD,0.4618
RE1,CRPMAI,DEMTRABIO,2026,1,SD,0.4738
RE1,CRPMAI,DEMTRABIO,2027,1,SD,0.4857
RE1,CRPMAI,DEMTRABIO,2028,1,SD,0.5016
RE1,CRPMAI,DEMTRABIO,2029,1,SD,0.5175
RE1,CRPMAI,DEMTRABIO,2030,1,SD,0.5335
RE1,CRPMAI,DEMTRABIO,2031,1,SD,0.5494
RE1,CRPMAI,DEMTRABIO,2032,1,SD,0.5653
RE1,CRPMAI,DEMTRABIO,2033,1,SD,0.5812
