REGION,TIMESLICE,FUEL,YEAR,VALUE
RE1,S11,PET,2025,0
RE1,S11,PET,2026,0
RE1,S11,PET,2027,0
RE1,S11,PET,2028,0
RE1,S11,PET,2029,0
RE1,S11,PET,2030,0
RE1,S11,PET,2031,0
RE1,S11,PET,2032,0
RE1,S11,PET,2033,0
RE1,S11,PET,2034,0
RE1,S11,PET,2035,0
RE1,S11,PET,2036,0
RE1,S11,PET,2037,0
RE1,S11,PET,2038,0
RE1,S11,PET,2039,0
RE1,S11,PET,2040,0
RE1,S11,PET,2041,0
RE1,S11,PET,2042,0
RE1,S11,PET,2043,0
RE1,S11,PET,2044,0
RE1,S11,PET,2045,0
RE1,S11,PET,2046,0
RE1,S11,PET,2047,0
RE1,S11,PET,2048,0
RE1,S11,PET,2049,0
RE1,S11,PET,2050,0
RE1,S11,DEMRESBIO,2020,0
RE1,S11,DEMRESBIO,2021,0
RE1,S11,DEMRESBIO,2022,0
RE1,S11,DEMRESBIO,2023,0
RE1,S11,DEMRESBIO,2024,0
RE1,S11,DEMRESBIO,2025,0
RE1,S11,DEMRESBIO,2026,0
RE1,S11,DEMRESBIO,2027,0
RE1,S11,DEMRESBIO,2028,0
RE1,S11,DEMRESBIO,2029,0
RE1,S11,DEMRESBIO,2030,0
RE1,S11,DEMRESBIO,2031,0
RE1,S11,DEMRESBIO,2032,0
RE1,S11,DEMRESBIO,2033,0
RE1,S11,DEMRESBIO,2034,0
RE1,S11,DEMRESBIO,2035,0
RE1,S11,DEMRESBIO,2036,0
RE1,S11,DEMRESBIO,2037,0
RE1,S11,DEMRESBIO,2038,0
RE1,S11,DEMRESBIO,2039,0
RE1,S11,DEMRESBIO,2040,0
RE1,S11,DEMRESBIO,2041,0
RE1,S11,DEMRESBIO,2042,0
RE1,S11,DEMRESBIO,2043,0
RE1,S11,DEMRESBIO,2044,0
RE1,S11,DEMRESBIO,2045,0
RE1,S11,DEMRESBIO,2046,0
RE1,S11,DEMRESBIO,2047,0
RE1,S11,DEMRESBIO,2048,0
RE1,S11,DEMRESBIO,2049,0
RE1,S11,DEMRESBIO,2050,0
RE1,S11,DEMINDCOA,2020,0
RE1,S11,DEMINDCOA,2021,0
RE1,S11,DEMINDCOA,2022,0
RE1,S11,DEMINDCOA,2023,0
RE1,S11,DEMINDCOA,2024,0
RE1,S11,DEMINDCOA,2025,0
RE1,S11,DEMINDCOA,2026,0
RE1,S11,DEMINDCOA,2027,0
RE1,S11,DEMINDCOA,2028,0
RE1,S11,DEMINDCOA,2029,0
RE1,S11,DEMINDCOA,2030,0
RE1,S11,DEMINDCOA,2031,0
RE1,S11,DEMINDCOA,2032,0
RE1,S11,DEMINDCOA,2033,0
RE1,S11,DEMINDCOA,2034,0
RE1,S11,DEMINDCOA,2035,0
RE1,S11,DEMINDCOA,2036,0
RE1,S11,DEMINDCOA,2037,0
RE1,S11,DEMINDCOA,2038,0
RE1,S11,DEMINDCOA,2039,0
RE1,S11,DEMINDCOA,2040,0
RE1,S11,DEMINDCOA,2041,0
RE1,S11,DEMINDCOA,2042,0
RE1,S11,DEMINDCOA,2043,0
RE1,S11,DEMINDCOA,2044,0
RE1,S11,DEMINDCOA,2045,0
RE1,S11,DEMINDCOA,2046,0
RE1,S11,DEMINDCOA,2047,0
RE1,S11,DEMINDCOA,2048,0
RE1,S11,DEMINDCOA,2049,0
RE1,S11,DEMINDCOA,2050,0
RE1,S11,LND,2020,0
RE1,S11,LND,2021,0
RE1,S11,LND,2022,0
RE1,S11,LND,2023,0
RE1,S11,LND,2024,0
RE1,S11,LND,2025,0
RE1,S11,LND,2026,0
RE1,S11,LND,2027,0
RE1,S11,LND,2028,0
RE1,S11,LND,2029,0
RE1,S11,LND,2030,0
RE1,S11,LND,2031,0
RE1,S11,LND,2032,0
RE1,S11,LND,2033,0
RE1,S11,LND,2034,0
RE1,S11,LND,2035,0
RE1,S11,LND,2036,0
RE1,S11,LND,2037,0
RE1,S11,LND,2038,0
RE1,S11,LND,2039,0
RE1,S11,LND,2040,0
RE1,S11,LND,2041,0
RE1,S11,LND,2042,0
RE1,S11,LND,2043,0
RE1,S11,LND,2044,0
RE1,S11,LND,2045,0
RE1,S11,LND,2046,0
RE1,S11,LND,2047,0
RE1,S11,LND,2048,0
RE1,S11,LND,2049,0
RE1,S11,LND,2050,0
RE1,S11,CRPCER,2020,0
RE1,S11,CRPCER,2021,0
RE1,S11,CRPCER,2022,0
RE1,S11,CRPCER,2023,0
RE1,S11,CRPCER,2024,0
RE1,S11,CRPCER,2025,0
RE1,S11,CRPCER,2026,0
RE1,S11,CRPCER,2027,0
RE1,S11,CRPCER,2028,0
RE1,S11,CRPCER,2029,0
RE1,S11,CRPCER,2030,0
RE1,S11,CRPCER,2031,0
RE1,S11,CRPCER,2032,0
RE1,S11,CRPCER,2033,0
RE1,S11,CRPCER,2034,0
RE1,S11,CRPCER,2035,0
RE1,S11,CRPCER,2036,0
RE1,S11,CRPCER,2037,0
RE1,S11,CRPCER,2038,0
RE1,S11,CRPCER,2039,0
RE1,S11,CRPCER,2040,0
RE1,S11,CRPCER,2041,0
RE1,S11,CRPCER,2042,0
RE1,S11,CRPCER,2043,0
RE1,S11,CRPCER,2044,0
RE1,S11,CRPCER,2045,0
RE1,S11,CRPCER,2046,0
RE1,S11,CRPCER,2047,0
RE1,S11,CRPCER,2048,0
RE1,S11,CRPCER,2049,0
RE1,S11,CRPCER,2050,0
RE1,S11,CRPMAI,2020,0
RE1,S11,CRPMAI,2021,0
RE1,S11,CRPMAI,2022,0
RE1,S11,CRPMAI,2023,0
RE1,S11,CRPMAI,2024,0
RE1,S11,CRPMAI,2025,0
RE1,S11,CRPMAI,2026,0
RE1,S11,CRPMAI,2027,0
