REGION,TECHNOLOGY,COMMODITY,MODE_OF_OPERATION,YEAR,VALUE
RE1,DEMEXPEL002,ELC002,1,2047,1.0
RE1,DEMEXPEL002,ELC002,1,2048,1.0
RE1,DEMEXPEL002,ELC002,1,2049,1.0
RE1,DEMEXPEL002,ELC002,1,2050,1.0
RE1,PWRBIO001,BIO,1,2020,2.86
RE1,PWRBIO001,BIO,1,2021,2.86
RE1,PWRBIO001,BIO,1,2022,2.86
RE1,PWRBIO001,BIO,1,2023,2.86
RE1,PWRBIO001,BIO,1,2024,2.86
RE1,PWRBIO001,BIO,1,2025,2.86
RE1,PWRBIO001,BIO,1,2026,2.86
RE1,PWRBIO001,BIO,1,2027,2.86
RE1,PWRBIO001,BIO,1,2028,2.86
RE1,PWRBIO001,BIO,1,2029,2.86
RE1,PWRBIO001,BIO,1,2030,2.86
RE1,PWRBIO001,BIO,1,2031,2.86
RE1,PWRBIO001,BIO,1,2032,2.86
RE1,PWRBIO001,BIO,1,2033,2.86
RE1,PWRBIO001,BIO,1,2034,2.86
RE1,PWRBIO001,BIO,1,2035,2.86
RE1,PWRBIO001,BIO,1,2036,2.86
RE1,PWRBIO001,BIO,1,2037,2.86
RE1,PWRBIO001,BIO,1,2038,2.86
RE1,PWRBIO001,BIO,1,2039,2.86
RE1,PWRBIO001,BIO,1,2040,2.86
RE1,PWRBIO001,BIO,1,2041,2.86
RE1,PWRBIO001,BIO,1,2042,2.86
RE1,PWRBIO001,BIO,1,2043,2.86
RE1,PWRBIO001,BIO,1,2044,2.86
RE1,PWRBIO001,BIO,1,2045,2.86
RE1,PWRBIO001,BIO,1,2046,2.86
RE1,PWRBIO001,BIO,1,2047,2.86
RE1,PWRBIO001,BIO,1,2048,2.86
RE1,PWRBIO001,BIO,1,2049,2.86
RE1,PWRBIO001,BIO,1,2050,2.86
RE1,PWRBIO001,PWRWAT,1,2020,0.04
RE1,PWRBIO001,PWRWAT,1,2021,0.04
